STN,YYYYMMDD,FG,FHX,FHN
380,20160101,38,70,20
380,20160102,40,60,20
380,20160103,61,80,40
380,20160104,55,70,40
380,20160105,48,60,30
380,20160106,28,40,20
380,20160107,64,100,40
380,20160108,53,70,30
380,20160109,56,80,40
380,20160110,70,100,30
380,20160111,58,80,40
380,20160112,75,100,50
380,20160113,53,70,30
380,20160114,80,110,60
380,20160115,37,100,20
380,20160116,39,80,20
380,20160117,21,30,10
380,20160118,26,30,20
380,20160119,18,40,10
380,20160120,43,50,30
380,20160121,18,30,10
380,20160122,46,90,20
380,20160123,51,70,40
380,20160124,61,90,40
380,20160125,48,80,20
380,20160126,76,110,40
380,20160127,99,110,80
380,20160128,38,70,20
380,20160129,97,120,60
380,20160130,92,130,40
380,20160131,64,80,40
380,20160201,97,120,70
380,20160202,65,110,40
380,20160203,45,60,20
380,20160204,51,90,20
380,20160205,56,70,30
380,20160206,73,100,40
380,20160207,90,130,50
380,20160208,126,150,90
380,20160209,77,120,50
380,20160210,62,90,30
380,20160211,43,50,20
380,20160212,44,60,30
380,20160213,36,70,10
380,20160214,26,30,10
380,20160215,49,70,20
380,20160216,17,40,0
380,20160217,18,40,10
380,20160218,31,60,10
380,20160219,35,70,10
380,20160220,79,90,60
380,20160221,86,100,70
380,20160222,61,100,10
380,20160223,33,50,20
380,20160224,22,30,0
380,20160225,28,40,10
380,20160226,25,30,10
380,20160227,52,70,30
380,20160228,72,100,50
380,20160229,60,80,20
380,20160301,55,90,10
380,20160302,70,90,50
380,20160303,33,60,10
380,20160304,42,80,10
380,20160305,18,30,10
380,20160306,25,30,20
380,20160307,18,30,0
380,20160308,39,50,20
380,20160309,52,70,30
380,20160310,30,40,10
380,20160311,35,50,30
380,20160312,28,50,10
380,20160313,53,70,30
380,20160314,51,70,40
380,20160315,38,60,10
380,20160316,57,90,30
380,20160317,32,50,10
380,20160318,16,30,10
380,20160319,21,30,0
380,20160320,26,40,20
380,20160321,27,40,20
380,20160322,29,50,20
380,20160323,30,50,20
380,20160324,32,40,20
380,20160325,42,60,10
380,20160326,58,90,20
380,20160327,71,90,40
380,20160328,86,130,50
380,20160329,63,90,20
380,20160330,43,60,10
380,20160331,40,70,10
380,20160401,28,50,10
380,20160402,22,50,0
380,20160403,46,70,30
380,20160404,39,70,10
380,20160405,24,40,10
380,20160406,62,90,30
380,20160407,46,70,10
380,20160408,18,30,10
380,20160409,30,40,20
380,20160410,33,60,0
380,20160411,45,70,20
380,20160412,23,40,10
380,20160413,18,30,10
380,20160414,23,50,10
380,20160415,59,80,20
380,20160416,45,80,10
380,20160417,23,40,10
380,20160418,35,50,20
380,20160419,34,40,30
380,20160420,42,60,20
380,20160421,47,60,30
380,20160422,54,70,50
380,20160423,44,60,20
380,20160424,29,50,20
380,20160425,46,70,30
380,20160426,53,70,20
